area_nm,visit_dt,visitor_sum,tourist_type
강원,2021-10-23,2221663,내국인
강원,2021-11-20,384,외국인
강원,2021-12-10,1690824,내국인
강원,2021-12-21,1611036,내국인
강원,2021-12-23,1631107,내국인
강원,2022-04-07,1502925,내국인
강원,2022-05-12,1712081,내국인
강원,2022-08-08,1900862,내국인
강원,2022-08-28,566,외국인
강원,2022-09-13,1735198,내국인
강원,2022-10-03,1908753,내국인
강원,2022-12-04,1696415,내국인
강원,2023-04-08,1746,외국인
강원,2020-09-03,320,외국인
강원,2020-09-12,318,외국인
강원,2020-09-20,1832723,내국인
강원,2020-11-19,1438761,내국인
강원,2021-03-20,239,외국인
강원,2021-08-23,376,외국인
강원,2021-09-10,1812170,내국인
강원,2021-12-30,1719698,내국인
강원,2022-01-22,1863675,내국인
강원,2022-06-10,1862550,내국인
강원,2022-06-11,2162097,내국인
강원,2022-07-18,1906918,내국인
강원,2022-08-13,576,외국인
강원,2022-09-14,1702715,내국인
강원,2022-11-10,939,외국인
강원,2022-12-07,811,외국인
강원,2023-01-24,908,외국인
강원,2023-04-10,1670698,내국인
강원,2023-04-28,1897565,내국인
강원,2020-06-29,221,외국인
강원,2020-09-08,305,외국인
강원,2020-10-09,2078305,내국인
강원,2020-10-14,1610095,내국인
강원,2020-12-28,268,외국인
강원,2021-02-10,1530436,내국인
강원,2021-04-30,1695637,내국인
강원,2021-05-01,205,외국인
강원,2021-06-04,208,외국인
강원,2021-06-06,1927126,내국인
강원,2022-01-18,1537284,내국인
강원,2022-02-01,308,외국인
강원,2022-04-08,1665936,내국인
강원,2022-05-18,1115,외국인
강원,2022-05-24,1300,외국인
강원,2022-07-26,2061542,내국인
강원,2022-08-04,1159,외국인
강원,2022-11-03,1672675,내국인
강원,2022-12-27,1874,외국인
강원,2020-07-05,282,외국인
강원,2020-08-23,366,외국인
강원,2020-12-22,1445276,내국인
강원,2021-03-26,332,외국인
강원,2021-03-31,260,외국인
강원,2021-04-18,295,외국인
강원,2021-06-05,203,외국인
강원,2021-07-27,303,외국인
강원,2021-12-08,296,외국인
강원,2022-02-17,327,외국인
강원,2022-06-30,1435,외국인
강원,2022-07-23,2347976,내국인
강원,2022-08-24,1832099,내국인
강원,2022-09-23,909,외국인
강원,2022-10-14,1909152,내국인
강원,2022-10-25,1814799,내국인
강원,2022-12-30,1930400,내국인
강원,2023-03-13,783,외국인
강원,2020-06-01,1470471,내국인
강원,2020-06-07,1883942,내국인
강원,2020-08-21,444,외국인
강원,2020-12-09,264,외국인
강원,2021-03-04,175,외국인
강원,2021-04-10,197,외국인
강원,2021-06-18,1806001,내국인
강원,2022-02-14,272,외국인
강원,2022-02-24,311,외국인
강원,2022-08-12,591,외국인
강원,2022-10-31,1189,외국인
강원,2022-11-05,756,외국인
강원,2022-11-21,810,외국인
강원,2020-05-01,322,외국인
강원,2021-08-01,274,외국인
강원,2022-01-07,261,외국인
강원,2022-04-30,2150407,내국인
강원,2022-05-04,1803037,내국인
강원,2022-05-05,844,외국인
강원,2022-07-06,1361,외국인
강원,2022-09-11,896,외국인
강원,2022-11-23,1660298,내국인
충북,2022-06-25,1817157,내국인
충북,2022-07-30,1889234,내국인
충북,2022-09-19,570,외국인
충북,2022-10-14,1683639,내국인
충북,2022-10-28,567,외국인
충북,2022-11-05,530,외국인
충북,2023-03-30,576,외국인
충북,2022-08-27,1924062,내국인
충북,2022-12-31,1633990,내국인
충북,2023-01-22,428,외국인
충북,2022-10-04,1476464,내국인
충북,2022-11-20,1730151,내국인
충북,2023-01-05,1410897,내국인
충북,2023-01-29,330,외국인
충북,2023-04-12,888,외국인
충북,2020-08-01,196,외국인
충북,2020-10-09,215,외국인
충북,2020-10-10,1561116,내국인
충북,2020-10-14,159,외국인
충북,2020-11-13,262,외국인
충북,2021-02-10,154,외국인
충북,2021-04-30,428,외국인
충북,2021-07-07,1347359,내국인
충북,2021-08-05,1400505,내국인
충북,2021-09-08,1430136,내국인
충북,2021-11-25,1438293,내국인
충북,2022-05-17,1558660,내국인
충북,2022-06-03,707,외국인
충북,2022-07-04,868,외국인
충북,2022-07-18,1495516,내국인
충북,2022-11-03,514,외국인
충북,2023-02-06,1425309,내국인
충북,2020-11-13,1524459,내국인
충북,2020-12-30,348,외국인
충북,2021-08-01,262,외국인
충북,2021-09-03,1506387,내국인
충북,2021-09-27,316,외국인
충북,2021-10-02,320,외국인
충북,2021-10-14,307,외국인
충북,2022-02-01,229,외국인
충북,2022-03-03,335,외국인
충북,2022-03-10,1413211,내국인
충북,2022-04-14,475,외국인
충북,2022-07-29,947,외국인
충북,2022-08-22,1545104,내국인
충북,2020-06-02,235,외국인
충북,2020-06-05,1440166,내국인
충북,2020-10-30,1544205,내국인
충북,2021-05-12,1404894,내국인
충북,2021-06-07,1399355,내국인
충북,2021-06-23,1444893,내국인
충북,2021-09-22,1545937,내국인
충북,2021-09-25,1585298,내국인
충북,2021-11-24,1405189,내국인
충북,2021-11-27,1614860,내국인
충북,2022-01-24,1377616,내국인
충북,2022-08-03,1563568,내국인
충북,2022-09-05,1422456,내국인
충북,2022-10-15,1881798,내국인
충북,2022-12-06,679,외국인
충북,2023-02-28,1670106,내국인
충북,2022-04-06,395,외국인
충북,2022-06-05,1750567,내국인
충북,2023-02-20,1490491,내국인
충북,2022-03-05,308,외국인
충북,2022-03-18,1452934,내국인
충북,2022-04-02,1602346,내국인
충북,2022-07-02,1736259,내국인
충북,2022-09-25,1770023,내국인
충북,2022-11-17,1615321,내국인
충북,2022-11-29,544,외국인
충북,2023-02-24,448,외국인
충북,2021-02-10,1359184,내국인
충북,2021-05-01,189,외국인
충북,2021-05-04,1384715,내국인
충북,2021-06-01,241,외국인
충북,2021-06-04,218,외국인
충북,2021-06-10,222,외국인
충북,2021-06-22,1452695,내국인
충북,2021-09-09,1477074,내국인
충북,2022-01-18,1335652,내국인
충북,2022-04-08,1549316,내국인
충북,2022-06-19,883,외국인
충북,2022-08-04,1002,외국인
충북,2022-10-16,1718289,내국인
충북,2021-08-13,294,외국인
충북,2021-09-15,304,외국인
충북,2021-10-25,338,외국인
충북,2021-12-19,1287582,내국인
충북,2022-02-24,1372520,내국인
충북,2022-03-25,1540697,내국인
충북,2022-04-19,475,외국인
충북,2022-08-12,1644070,내국인
충북,2022-08-14,465,외국인
충북,2022-08-21,1629170,내국인
충북,2022-11-19,448,외국인
충북,2022-12-08,1478512,내국인
충북,2022-04-07,401,외국인
충북,2022-04-17,1625957,내국인
충북,2022-05-12,617,외국인
충북,2022-09-13,487,외국인
충북,2022-10-13,1588784,내국인
충북,2022-11-26,1765049,내국인
충북,2022-12-02,1520639,내국인
충북,2022-12-30,506,외국인
충북,2023-01-19,1502915,내국인
충북,2022-08-11,1397315,내국인
충북,2022-08-15,468,외국인
