시점,발생지역별(1),인구(B) (명),형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범,형법범
시점,발생지역별(1),소계,재산범죄,재산범죄,재산범죄,재산범죄,재산범죄,재산범죄,강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),위조범죄
시점,발생지역별(1),소계,절도,장물,사기,횡령,배임,손괴,살인,강도,방화,성폭력,폭행,상해,협박,공갈,약취와 유인,체포와 감금,폭력행위등(손괴강요주거침입등),폭력행위등(단체등의구성 활동),위조범죄
2020,충남,2121029,7659,16,13408,1907,217,2615,36,41,61,1044,4111,1886,899,238,9,78,37,2,646
2020,전북,1804104,5761,27,11265,1297,160,1639,35,19,47,873,4633,1409,552,236,4,45,43,31,583
2020,전남,1851549,5907,7,9959,1718,189,2043,39,14,52,875,4475,1786,809,218,12,50,41,4,521
2020,경북,2639422,8961,22,16678,1802,181,2996,31,20,85,1079,5987,2497,966,289,6,74,63,13,647
2020,경남,3340216,13771,47,27268,3102,392,3961,68,51,88,1634,9222,3697,1358,505,12,110,86,4,1122
2020,제주,674635,3425,3,5392,879,89,1288,17,14,26,502,2638,812,485,99,5,21,23,1,223
2021,서울,9509458,33639,39,52627,13728,1068,9413,130,125,187,8459,24030,3413,3889,1015,56,276,210,11,2732
2021,부산,3350380,12748,74,26364,3560,545,3525,48,51,52,2185,7972,2855,1414,373,12,90,73,4,995
2021,대구,2385412,9309,7,15393,2352,149,2587,27,23,55,1291,5492,1797,933,188,6,54,44,4,625
2021,인천,2948375,8183,20,15390,3710,203,3132,46,34,54,2213,8085,1828,1321,521,18,114,85,5,650
2021,광주,1441611,4945,6,7943,1606,133,1498,13,16,21,859,3714,843,489,128,9,65,39,6,422
2021,대전,1452251,5081,6,9321,1295,131,1570,19,10,40,1020,3895,885,642,170,9,39,26,1,349
2021,울산,1121592,2103,5,4288,466,63,714,8,5,20,366,1636,608,267,51,3,15,27,1,290
2021,세종,371895,1043,1,1119,185,24,246,4,1,2,139,320,147,110,31,3,5,4,-,43
2021,경기,13565450,37403,66,75380,13914,899,14404,159,90,242,7826,31916,5738,6093,1434,70,317,309,27,3050
2021,강원,1538492,4202,10,7745,918,90,1718,15,11,38,783,3294,1232,671,147,5,47,30,1,343
2021,충북,1597427,5270,11,9433,1111,82,1850,19,12,32,831,3163,1292,546,158,8,42,46,28,415
2021,충남,2119257,7149,14,10731,1563,150,2336,34,25,65,1178,3508,1546,844,267,10,54,49,18,507
2021,전북,1786855,5612,5,10524,1109,121,1709,27,21,35,926,3792,1070,605,169,3,57,45,13,682
2021,전남,1832803,5786,8,9374,1309,139,2049,37,12,47,1067,4003,1630,854,175,5,48,50,5,471
2021,경북,2626609,8616,7,13688,1506,150,2814,32,22,44,1346,4422,2174,847,270,20,60,69,7,624
2021,경남,3314183,12638,14,23892,2400,276,3585,55,40,76,1843,7775,3091,1451,393,10,101,75,2,1133
2021,제주,676759,3055,9,4769,856,59,1247,19,13,15,566,2498,713,526,97,4,17,28,-,187
